,DATE,SVXY
0,2011-10-04,21.05
1,2011-10-05,22.69
2,2011-10-06,23.17
3,2011-10-07,23.34
4,2011-10-10,24.3
5,2011-10-11,24.63
6,2011-10-12,26.34
7,2011-10-13,26.14
8,2011-10-14,27.88
9,2011-10-17,24.81
10,2011-10-18,25.67
11,2011-10-19,23.96
12,2011-10-20,23.75
13,2011-10-21,24.92
14,2011-10-24,26.53
15,2011-10-25,24.73
16,2011-10-26,25.56
17,2011-10-27,28.92
18,2011-10-28,29.39
19,2011-10-31,26.22
20,2011-11-01,22.32
21,2011-11-02,23.06
22,2011-11-03,24.18
23,2011-11-04,23.7
24,2011-11-07,23.86
25,2011-11-08,25.0
26,2011-11-09,20.21
27,2011-11-10,21.45
28,2011-11-11,22.38
29,2011-11-14,21.82
30,2011-11-15,22.05
31,2011-11-16,21.0
32,2011-11-17,19.99
33,2011-11-18,20.62
34,2011-11-21,20.42
35,2011-11-22,20.83
36,2011-11-23,19.89
37,2011-11-25,19.62
38,2011-11-28,20.5
39,2011-11-29,20.89
40,2011-11-30,22.81
41,2011-12-01,23.27
42,2011-12-02,23.38
43,2011-12-05,23.41
44,2011-12-06,23.5
45,2011-12-07,22.78
46,2011-12-08,21.74
47,2011-12-09,23.23
48,2011-12-12,23.06
49,2011-12-13,23.11
50,2011-12-14,23.12
51,2011-12-15,23.98
52,2011-12-16,24.17
53,2011-12-19,24.35
54,2011-12-20,25.86
55,2011-12-21,27.62
56,2011-12-22,27.49
57,2011-12-23,26.85
58,2011-12-27,27.01
59,2011-12-28,25.86
60,2011-12-29,26.51
61,2011-12-30,26.14
62,2012-01-03,27.44
63,2012-01-04,27.95
64,2012-01-05,28.61
65,2012-01-06,29.08
66,2012-01-09,29.48
67,2012-01-10,30.05
68,2012-01-11,29.54
69,2012-01-12,29.95
70,2012-01-13,29.19
71,2012-01-17,29.43
72,2012-01-18,30.49
73,2012-01-19,31.33
74,2012-01-20,32.26
75,2012-01-23,33.07
76,2012-01-24,32.9
77,2012-01-25,34.39
78,2012-01-26,34.25
79,2012-01-27,35.11
80,2012-01-30,34.0
81,2012-01-31,34.06
82,2012-02-01,34.92
83,2012-02-02,35.98
84,2012-02-03,37.91
85,2012-02-06,38.28
86,2012-02-07,38.01
87,2012-02-08,37.19
88,2012-02-09,35.29
89,2012-02-10,32.11
90,2012-02-13,34.84
91,2012-02-14,33.67
92,2012-02-15,31.69
93,2012-02-16,32.85
94,2012-02-17,33.34
95,2012-02-21,33.37
96,2012-02-22,34.24
97,2012-02-23,36.5
98,2012-02-24,35.1
99,2012-02-27,34.83
100,2012-02-28,35.18
101,2012-02-29,35.73
102,2012-03-01,36.42
103,2012-03-02,36.18
104,2012-03-05,36.25
105,2012-03-06,33.4
106,2012-03-07,35.03
107,2012-03-08,36.36
108,2012-03-09,37.09
109,2012-03-12,38.77
110,2012-03-13,40.6
111,2012-03-14,39.19
112,2012-03-15,39.71
113,2012-03-16,39.82
114,2012-03-19,42.26
115,2012-03-20,44.17
116,2012-03-21,46.3
117,2012-03-22,45.67
118,2012-03-23,48.86
119,2012-03-26,53.51
120,2012-03-27,48.24
121,2012-03-28,47.63
122,2012-03-29,47.92
